,Train_loss,Val_loss,acc,recall,prec,f1,auc_roc,auc_pr
0,0.7235453635454178,0.6901414871215821,0.5251808166503906,0.5251808166503906,0.8269329530737212,0.6179650973292097,0.5164413146189488,0.020692700380648577
1,0.7161533087491989,0.6957089185714722,0.4982582092285156,0.4982582092285156,0.8237097607837267,0.5938433284184754,0.507404524161753,0.011920996159750173
2,0.7111625999212265,0.7033250212669373,0.46614952087402345,0.46614952087402345,0.8192692961402063,0.5638240913590427,0.4981602601035424,0.004215930202918248
3,0.7059560596942902,0.6976335763931274,0.5008415222167969,0.5008415222167969,0.8247447322479774,0.5961167576297117,0.50029290984025,0.0034991445324532248
4,0.7008492261171341,0.6907850980758667,0.5374900817871093,0.5374900817871094,0.8292181371165375,0.6286225000527363,0.49613759149570136,0.0014356881649568586
5,0.6952823549509048,0.6822349667549134,0.588747787475586,0.588747787475586,0.8333725160288452,0.671447970637414,0.49330908895918585,-2.9680206223314257e-05
6,0.6896627366542816,0.6807088971138,0.5852275848388672,0.5852275848388672,0.834430316601477,0.6685850221752385,0.5179900915753569,0.0125307129503649
7,0.683283218741417,0.6745736479759217,0.6035835266113281,0.6035835266113281,0.8344213047216001,0.683283886832515,0.5108375295412342,0.0108962262503618
8,0.6784871369600296,0.6717095613479614,0.6315620422363282,0.6315620422363282,0.8367632836874817,0.7049948616171283,0.5059105027370232,0.007458699499231438
9,0.6725192159414292,0.6679252624511719,0.6465888977050781,0.6465888977050781,0.8363373980288266,0.7162244922261027,0.5084033752260863,0.005518690607787835
